22:09:20.957 INFO  AUTOMATION - On start
22:09:25.595 INFO  AUTOMATION - On test starts: fifthTest
22:09:25.824 INFO  AUTOMATION - Test passed
22:09:26.110 INFO  AUTOMATION - On test starts: fifthTest
22:09:26.126 INFO  AUTOMATION - Test passed
22:09:26.442 INFO  AUTOMATION - On test starts: fifthTest
22:09:26.479 INFO  AUTOMATION - Test passed
22:09:26.690 INFO  AUTOMATION - On test starts: fifthTest
22:09:26.708 INFO  AUTOMATION - Test passed
22:09:26.845 INFO  AUTOMATION - On test starts: fifthTest
22:09:26.865 INFO  AUTOMATION - Test passed
22:09:27.020 INFO  AUTOMATION - On test starts: fifthTest
22:09:27.041 INFO  AUTOMATION - Test passed
22:09:27.259 INFO  AUTOMATION - On test starts: fifthTest
22:09:27.268 INFO  AUTOMATION - Test passed
22:09:27.356 INFO  AUTOMATION - On test starts: fifthTest
22:09:27.364 INFO  AUTOMATION - Test passed
22:09:27.501 INFO  AUTOMATION - On test starts: fifthTest
22:09:27.530 INFO  AUTOMATION - Test passed
22:09:27.697 INFO  AUTOMATION - On test starts: fifthTest
22:09:27.724 INFO  AUTOMATION - Test passed
22:09:27.940 INFO  AUTOMATION - On test starts: fifthTest
22:09:27.954 INFO  AUTOMATION - Test passed
22:09:28.078 INFO  AUTOMATION - On test starts: fifthTest
22:09:28.091 INFO  AUTOMATION - Test passed
22:09:28.221 INFO  AUTOMATION - On test starts: fifthTest
22:09:28.235 INFO  AUTOMATION - Test passed
22:09:28.390 INFO  AUTOMATION - On test starts: fifthTest
22:09:28.406 INFO  AUTOMATION - Test passed
22:09:28.523 INFO  AUTOMATION - On test starts: firstTest
22:09:28.532 INFO  AUTOMATION - Verifying the name of the first monster...
22:09:28.546 INFO  AUTOMATION - Test passed
22:09:28.635 INFO  AUTOMATION - On test starts: fourthTest
22:09:28.645 INFO  AUTOMATION - Verifying all the information of the last monster...
22:09:28.659 INFO  AUTOMATION - Test passed
22:09:28.724 INFO  AUTOMATION - On test starts: thirdTest
22:09:28.732 INFO  AUTOMATION - Verifying the level of the third monster...
22:09:28.738 INFO  AUTOMATION - Test passed
22:09:29.988 INFO  AUTOMATION - On test starts: fourthTest
22:09:29.994 INFO  AUTOMATION - Verifying the user information...
22:09:30.000 INFO  AUTOMATION - Test passed
22:09:30.051 INFO  AUTOMATION - On test starts: secondTest
22:09:30.057 INFO  AUTOMATION - Verifying the longitude...
22:09:30.062 INFO  AUTOMATION - Test passed
22:09:30.210 INFO  AUTOMATION - On finish
